episode,system,total_reward,deliveries_completed,deliveries_total,success_rate,rule_violations,collisions,battery_failures,steps,avg_battery_remaining,symbolic_interventions,timestamp
37,neuro_dqn,-1087.800063021481,6,10,0.6,0,0,0,500,17.2399999999998,2086,2026-05-22T16:38:08
38,neuro_dqn,-2232.4000807479024,1,10,0.1,15,0,0,500,5.739999999999854,2105,2026-05-22T16:38:11
39,neuro_dqn,-830.5500364378095,3,10,0.3,0,1,0,500,42.71999999999969,2262,2026-05-22T16:38:15
40,neuro_dqn,-2155.6000746041536,5,10,0.5,106,0,0,500,33.65999999999972,2149,2026-05-22T16:38:18
41,neuro_dqn,-1385.8500746116042,4,10,0.4,0,0,0,500,8.059999999999913,1908,2026-05-22T16:38:21
42,neuro_dqn,-1512.1500777490437,3,10,0.3,0,0,0,500,8.399999999999917,1896,2026-05-22T16:38:23
43,neuro_dqn,-1206.4500613100827,2,10,0.2,0,0,0,500,17.61999999999977,2050,2026-05-22T16:38:26
44,neuro_dqn,-1510.2000558674335,1,10,0.1,0,2,0,500,18.21999999999991,1863,2026-05-22T16:38:29
45,neuro_dqn,-784.8000616617501,4,10,0.4,0,0,0,500,43.57999999999976,2156,2026-05-22T16:38:32
46,neuro_dqn,-804.5000516064465,4,10,0.4,0,0,0,500,34.899999999999565,2477,2026-05-22T16:38:36
47,neuro_dqn,-1944.3500642888248,2,10,0.2,49,0,0,500,11.099999999999827,1890,2026-05-22T16:38:39
48,neuro_dqn,-989.050056297332,2,10,0.2,0,0,0,500,21.939999999999795,2389,2026-05-22T16:38:43
49,neuro_dqn,-2335.6000365056098,2,10,0.2,41,0,0,500,30.899999999999665,2398,2026-05-22T16:38:47
50,neuro_dqn,-890.1500709801912,4,10,0.4,0,0,0,389,0.0,1650,2026-05-22T16:38:50
51,neuro_dqn,-2082.95007988438,2,10,0.2,37,2,0,500,7.059999999999933,1821,2026-05-22T16:38:53
52,neuro_dqn,-2926.8500886932015,5,10,0.5,138,0,0,500,19.339999999999698,2082,2026-05-22T16:38:56
53,neuro_dqn,-1970.6000886410475,4,10,0.4,59,0,0,500,30.019999999999715,2286,2026-05-22T16:39:00
54,neuro_dqn,-1407.8500762730837,4,10,0.4,0,0,0,500,30.739999999999828,2266,2026-05-22T16:39:03
55,neuro_dqn,-8199.700077570975,2,10,0.2,418,0,0,500,18.219999999999782,2107,2026-05-22T16:39:06
56,neuro_dqn,-7202.050052970648,3,10,0.3,403,0,0,500,22.819999999999823,2200,2026-05-22T16:39:10
57,neuro_dqn,-307.30006432905793,6,10,0.6,0,1,0,500,36.99999999999976,2106,2026-05-22T16:39:13
58,neuro_dqn,-1445.6000803634524,4,10,0.4,0,0,0,500,9.899999999999906,1863,2026-05-22T16:39:16
59,neuro_dqn,-1859.0000731237233,1,10,0.1,0,0,0,500,3.3399999999998875,2135,2026-05-22T16:39:20
60,neuro_dqn,-1143.1500612795353,2,10,0.2,0,0,0,500,36.43999999999981,2301,2026-05-22T16:39:23
61,neuro_dqn,-1415.3500866144896,5,10,0.5,0,0,0,500,3.4399999999996993,2208,2026-05-22T16:39:29
62,neuro_dqn,-941.550060454756,3,10,0.3,0,0,0,500,22.09999999999969,2285,2026-05-22T16:39:34
63,neuro_dqn,-1598.2000763304532,2,10,0.2,0,0,0,500,13.079999999999846,2089,2026-05-22T16:39:39
64,neuro_dqn,-1522.8000668212771,1,10,0.1,0,0,0,500,11.759999999999813,2084,2026-05-22T16:39:44
65,neuro_dqn,-1436.3000728227198,3,10,0.3,0,0,0,500,16.839999999999943,1765,2026-05-22T16:39:48
66,neuro_dqn,-1065.1500604227185,2,10,0.2,0,0,0,500,10.379999999999717,2055,2026-05-22T16:39:53
67,neuro_dqn,-383.7000730931759,5,10,0.5,0,0,0,303,0.0,1441,2026-05-22T16:39:57
68,neuro_dqn,-798.3000722825527,5,10,0.5,0,0,0,299,0.0,1465,2026-05-22T16:40:00
69,neuro_dqn,-1407.100063007325,2,10,0.2,0,0,0,500,17.659999999999865,1898,2026-05-22T16:40:04
70,neuro_dqn,-7507.349984806031,3,10,0.3,440,0,0,500,12.299999999999782,2115,2026-05-22T16:40:10
71,neuro_dqn,-1648.3500681631267,3,10,0.3,0,0,0,500,11.439999999999703,2289,2026-05-22T16:40:15
72,neuro_dqn,-937.4500517435372,4,10,0.4,3,5,0,500,10.919999999999717,2054,2026-05-22T16:40:20
73,neuro_dqn,-1335.0500847250223,8,10,0.8,67,0,0,500,15.239999999999768,2459,2026-05-22T16:40:26
74,neuro_dqn,-1957.6000088565052,5,10,0.5,61,0,0,500,18.739999999999856,2093,2026-05-22T16:40:31
75,neuro_dqn,-1221.6000653356314,4,10,0.4,33,0,0,500,13.75999999999961,2276,2026-05-22T16:40:36
76,neuro_dqn,-924.5500549301505,4,10,0.4,0,0,0,500,24.759999999999785,2098,2026-05-22T16:40:41
77,neuro_dqn,84.69994770735502,7,10,0.7,0,0,0,500,36.51999999999966,2435,2026-05-22T16:40:47
78,neuro_dqn,-876.300065241754,4,10,0.4,0,0,0,500,17.01999999999976,2051,2026-05-22T16:40:51
79,neuro_dqn,-731.3500787615776,8,10,0.8,0,0,0,500,19.499999999999837,2304,2026-05-22T16:40:56
80,neuro_dqn,-942.0000703781843,4,10,0.4,0,0,0,500,2.7999999999999496,1673,2026-05-22T16:41:00
81,neuro_dqn,-574.70006448403,5,10,0.5,0,0,0,500,29.099999999999692,2196,2026-05-22T16:41:05
82,neuro_dqn,-866.1000794023275,6,10,0.6,1,0,0,500,26.319999999999744,2272,2026-05-22T16:41:10
83,neuro_dqn,-1293.650086004287,4,10,0.4,0,0,0,434,0.0,1619,2026-05-22T16:41:14
84,neuro_dqn,-1256.2000706270337,4,10,0.4,0,1,0,500,3.35999999999983,2205,2026-05-22T16:41:19
85,neuro_dqn,-2228.3000696972013,3,10,0.3,86,1,0,500,46.339999999999954,2067,2026-05-22T16:41:24
86,neuro_dqn,-563.9000792838633,7,10,0.7,0,0,0,500,19.279999999999657,2490,2026-05-22T16:41:30
87,neuro_dqn,-741.400078561157,5,10,0.5,0,0,0,500,7.159999999999698,2197,2026-05-22T16:41:35
88,neuro_dqn,-1509.5500784181058,3,10,0.3,0,1,0,500,9.119999999999896,1913,2026-05-22T16:41:39
89,neuro_dqn,-1263.3000572659075,1,10,0.1,0,0,0,500,2.7399999999999594,1757,2026-05-22T16:41:43
90,neuro_dqn,-1901.6000554673374,5,10,0.5,33,0,0,500,8.679999999999813,2329,2026-05-22T16:41:49
91,neuro_dqn,-923.5000531040132,4,10,0.4,3,0,0,500,33.51999999999985,2289,2026-05-22T16:41:54
92,neuro_dqn,-5974.600039709359,4,10,0.4,340,0,0,500,56.97999999999981,2325,2026-05-22T16:41:59
93,neuro_dqn,-1286.3000425882638,5,10,0.5,33,0,0,500,0.9999999999998854,1738,2026-05-22T16:42:03
94,neuro_dqn,-1797.500067166984,4,10,0.4,59,0,0,500,10.779999999999907,1950,2026-05-22T16:42:08
95,neuro_dqn,-1220.0500854626298,4,10,0.4,0,0,0,500,10.399999999999839,2183,2026-05-22T16:42:13
96,neuro_dqn,-1046.700069218874,4,10,0.4,1,0,0,500,13.039999999999718,2308,2026-05-22T16:42:19
97,neuro_dqn,-1155.1000694967806,4,10,0.4,0,0,0,500,16.83999999999971,2484,2026-05-22T16:42:24
98,neuro_dqn,-1757.100081641227,3,10,0.3,0,0,0,500,25.259999999999764,2074,2026-05-22T16:42:29
99,neuro_dqn,-1148.1500578075647,3,10,0.3,0,0,0,500,19.43999999999999,1734,2026-05-22T16:42:33
100,neuro_dqn,-1415.0000697895885,4,10,0.4,0,0,0,500,12.239999999999743,2265,2026-05-22T16:42:39
101,neuro_dqn,-2871.100083399564,2,10,0.2,94,0,0,500,17.59999999999976,2391,2026-05-22T16:42:45
102,neuro_dqn,-7242.800064291805,2,10,0.2,367,0,0,500,19.919999999999835,2072,2026-05-22T16:42:50
103,neuro_dqn,-2480.600029747933,4,10,0.4,52,0,0,462,0.0,2048,2026-05-22T16:42:55
104,neuro_dqn,-853.8000833280385,8,10,0.8,0,0,0,500,23.799999999999677,2269,2026-05-22T16:43:00
105,neuro_dqn,-1352.200059901923,2,10,0.2,0,0,0,500,9.999999999999824,2098,2026-05-22T16:43:05
106,neuro_dqn,128.1499266475439,10,10,1.0,0,2,0,387,42.53999999999964,1818,2026-05-22T16:43:09
107,neuro_dqn,-787.1500631682575,8,10,0.8,0,15,0,500,38.95999999999977,2280,2026-05-22T16:43:15
108,neuro_dqn,-6941.100056950003,6,10,0.6,414,0,0,500,28.27999999999971,2397,2026-05-22T16:43:21
109,neuro_dqn,-5976.65004376322,4,10,0.4,327,2,0,500,14.679999999999842,2109,2026-05-22T16:43:26
110,neuro_dqn,-734.8500676900148,6,10,0.6,0,0,0,500,25.3599999999997,2198,2026-05-22T16:43:31
111,neuro_dqn,-1163.2500466108322,6,10,0.6,34,0,0,500,14.099999999999843,1912,2026-05-22T16:43:36
112,neuro_dqn,-1201.650069605559,5,10,0.5,0,0,0,500,4.939999999999824,2198,2026-05-22T16:43:41
113,neuro_dqn,-482.30006425082684,5,10,0.5,0,0,0,500,14.679999999999666,2130,2026-05-22T16:43:47
114,neuro_dqn,-1248.2000804319978,4,10,0.4,30,0,0,500,12.859999999999733,2481,2026-05-22T16:43:53
